a,ʔ aː 1
bồi,ɓ o j 2
bổi,ɓ o j 3
bội,ɓ o j 6
bới,ɓ əː j 5
bời,ɓ əː j 2
bởi,ɓ əː j 3
bụi,ɓ u j 6
băm,ɓ a m 1
bũm,ɓ u m 4
bơm,ɓ əː m 1
bạm,ɓ aː m 6
bảm,ɓ aː m 3
bấm,ɓ ə m 5
bầm,ɓ ə m 2
bẩm,ɓ ə m 3
bẫm,ɓ ə m 4
bậm,ɓ ə m 6
bằm,ɓ a m 2
bẳm,ɓ a m 3
bẵm,ɓ a m 4
bặm,ɓ a m 6
bẻm,ɓ ɛ m 3
bỉm,ɓ i m 3
bỏm,ɓ ɔ m 3
bồm,ɓ o m 2
bỗm,ɓ o m 4
bờm,ɓ əː m 2
bợm,ɓ əː m 6
bụm,ɓ u m 6
bủm,ɓ u m 3
băn,ɓ a n 1
bơn,ɓ əː n 1
bạn,ɓ aː n 6
bản,ɓ aː n 3
bấn,ɓ ə n 5
bần,ɓ ə n 2
bẩn,ɓ ə n 3
bận,ɓ ə n 6
bắn,ɓ a n 5
bằn,ɓ a n 2
bẳn,ɓ a n 3
bặn,ɓ a n 6
bẹn,ɓ ɛ n 6
bẽn,ɓ ɛ n 4
bến,ɓ e n 5
bền,ɓ e n 2
bển,ɓ e n 3
bện,ɓ e n 6
bịn,ɓ i n 6
bọn,ɓ ɔ n 6
bỏn,ɓ ɔ n 3
bốn,ɓ o n 5
bồn,ɓ o n 2
bổn,ɓ o n 3
bộn,ɓ o n 6
bớn,ɓ əː n 5
bờn,ɓ əː n 2
bỡn,ɓ əː n 4
bợn,ɓ əː n 6
bủn,ɓ u n 3
băng,ɓ a ŋ 1
bưng,ɓ ɨ ŋ 1
bạng,ɓ aː ŋ 6
bảng,ɓ aː ŋ 3
bấng,ɓ ə ŋ 5
bầng,ɓ ə ŋ 2
bẫng,ɓ ə ŋ 4
bậng,ɓ ə ŋ 6
bắng,ɓ a ŋ 5
bằng,ɓ a ŋ 2
bẳng,ɓ a ŋ 3
bẵng,ɓ a ŋ 4
bặng,ɓ a ŋ 6
bọng,ɓ ɔ ŋ 6
bỏng,ɓ ɔ ŋ 3
bống,ɓ o ŋ 5
bồng,ɓ o ŋ 2
bổng,ɓ o ŋ 3
bỗng,ɓ o ŋ 4
bộng,ɓ o ŋ 6
bụng,ɓ u ŋ 6
bủng,ɓ u ŋ 3
bứng,ɓ ɨ ŋ 5
bừng,ɓ ɨ ŋ 2
bửng,ɓ ɨ ŋ 3
bựng,ɓ ɨ ŋ 6
bĩnh,ɓ i ŋ 4
bạnh,ɓ ɛ ŋ 6
bảnh,ɓ ɛ ŋ 3
bếnh,ɓ e ŋ 5
bềnh,ɓ e ŋ 2
bểnh,ɓ e ŋ 3
bệnh,ɓ e ŋ 6
bỉnh,ɓ i ŋ 3
bịnh,ɓ i ŋ 6
bạo,ɓ aː w 6
bảo,ɓ aː w 3
bẹo,ɓ ɛ w 6
bẻo,ɓ ɛ w 3
bẽo,ɓ ɛ w 4
bạp,ɓ aː p 6
bấp,ɓ ə p 5
bập,ɓ ə p 6
bắp,ɓ a p 5
bặp,ɓ a p 6
bẹp,ɓ ɛ p 6
bếp,ɓ e p 5
bệp,ɓ e p 6
bịp,ɓ i p 6
bọp,ɓ ɔ p 6
bốp,ɓ o p 5
bộp,ɓ o p 6
bớp,ɓ əː p 5
bợp,ɓ əː p 6
bụp,ɓ u p 6
bạt,ɓ aː t 6
bất,ɓ ə t 5
bật,ɓ ə t 6
bắt,ɓ a t 5
bặt,ɓ a t 6
bẹt,ɓ ɛ t 6
bết,ɓ e t 5
bệt,ɓ e t 6
bịt,ɓ i t 6
bọt,ɓ ɔ t 6
bốt,ɓ o t 5
bột,ɓ o t 6
bớt,ɓ əː t 5
bợt,ɓ əː t 6
bụt,ɓ u t 6
bứt,ɓ ɨ t 5
bựt,ɓ ɨ t 6
bĩu,ɓ i w 4
bưu,ɓ ɨ w 1
bạu,ɓ a w 6
bảu,ɓ a w 3
bấu,ɓ ə w 5
bầu,ɓ ə w 2
bẩu,ɓ ə w 3
bậu,ɓ ə w 6
bều,ɓ e w 2
bệu,ɓ e w 6
bỉu,ɓ i w 3
bịu,ɓ i w 6
bứu,ɓ ɨ w 5
bửu,ɓ ɨ w 3
bảy,ɓ a j 3
bấy,ɓ ə j 5
bầy,ɓ ə j 2
bẩy,ɓ ə j 3
bẫy,ɓ ə j 4
bậy,ɓ ə j 6
bước,ɓ ɨə k 5
bươi,ɓ ɨə j 1
bưởi,ɓ ɨə j 3
bươm,ɓ ɨə m 1
bướm,ɓ ɨə m 5
bươn,ɓ ɨə n 1
bương,ɓ ɨə ŋ 1
bướng,ɓ ɨə ŋ 5
bường,ɓ ɨə ŋ 2
bưởng,ɓ ɨə ŋ 3
bướp,ɓ ɨə p 5
bượt,ɓ ɨə t 6
bươu,ɓ ɨə w 1
bướu,ɓ ɨə w 5
ca,k aː 1
cai,k aː j 1
cam,k aː m 1
can,k aː n 1
cang,k aː ŋ 1
canh,k ɛ ŋ 1
cao,k aː w 1
cau,k a w 1
cay,k a j 1
cha,c aː 1
chai,c aː j 1
cham,c aː m 1
chan,c aː n 1
chang,c aː ŋ 1
chanh,c ɛ ŋ 1
chao,c aː w 1
chau,c a w 1
chay,c a j 1
che,c ɛ 1
chem,c ɛ m 1
chen,c ɛ n 1
cheo,c ɛ w 1
chi,c i 1
chia,c iə 1
chim,c i m 1
chin,c i n 1
chinh,c i ŋ 1
chiu,c i w 1
chiêm,c iə m 1
chiên,c iə n 1
chiêng,c iə ŋ 1
chiêu,c iə w 1
chiếc,c iə k 5
chiệc,c iə k 6
chiếm,c iə m 5
chiểm,c iə m 3
chiến,c iə n 5
chiền,c iə n 2
chiển,c iə n 3
chiễn,c iə n 4
chiện,c iə n 6
chiếng,c iə ŋ 5
chiềng,c iə ŋ 2
chiếp,c iə p 5
chiết,c iə t 5
chiếu,c iə w 5
chiều,c iə w 2
chiểu,c iə w 3
cho,c ɔ 1
choa,c w aː 1
choai,c w aː j 1
choang,c w aː ŋ 1
choay,c w a j 1
choe,c w ɛ 1
choen,c w ɛ n 1
choi,c ɔ j 1
chom,c ɔ m 1
chon,c ɔ n 1
chong,c ɔ ŋ 1
choài,c w aː j 2
choàm,c w aː m 2
choàng,c w aː ŋ 2
choá,c w aː 5
choác,c w aː k 5
choái,c w aː j 5
choán,c w aː n 5
choáng,c w aː ŋ 5
choã,c w aː 4
choãi,c w aː j 4
choè,c w ɛ 2
choèn,c w ɛ n 2
choé,c w ɛ 5
choét,c w ɛ t 5
choẹ,c w ɛ 6
choạc,c w aː k 6
choại,c w aː j 6
choăn,c w a n 1
choạng,c w aː ŋ 6
choảng,c w aː ŋ 3
choạp,c w aː p 6
choắt,c w a t 5
choẹt,c w ɛ t 6
chu,c u 1
chua,c uə 1
chui,c u j 1
chum,c u m 1
chun,c u n 1
chung,c u ŋ 1
chuyên,c w iə n 1
chuyến,c w iə n 5
chuyền,c w iə n 2
chuyển,c w iə n 3
chuyện,c w iə n 6
chuân,c w ə n 1
chuôi,c uə j 1
chuôm,c uə m 1
chuôn,c uə n 1
chuông,c uə ŋ 1
chuý,c w i 5
chuế,c w e 5
chuỳ,c w i 2
chuốc,c uə k 5
chuộc,c uə k 6
chuếch,c w e k 5
chuệch,c w e k 6
chuối,c uə j 5
chuồi,c uə j 2
chuổi,c uə j 3
chuỗi,c uə j 4
chuội,c uə j 6
chuẩn,c w ə n 3
chuẫn,c w ə n 4
chuồn,c uə n 2
chuồng,c uə ŋ 2
chuổng,c uə ŋ 3
chuộng,c uə ŋ 6
chuếnh,c w e ŋ 5
chuểnh,c w e ŋ 3
chuệnh,c w e ŋ 6
chuốt,c uə t 5
chuột,c uə t 6
chà,c aː 2
chài,c aː j 2
chàm,c aː m 2
chàng,c aː ŋ 2
chành,c ɛ ŋ 2
chào,c aː w 2
chàu,c a w 2
chày,c a j 2
chá,c aː 5
chác,c aː k 5
chách,c ɛ k 5
chái,c aː j 5
chám,c aː m 5
chán,c aː n 5
cháng,c aː ŋ 5
chánh,c ɛ ŋ 5
cháo,c aː w 5
chát,c aː t 5
cháu,c a w 5
cháy,c a j 5
châm,c ə m 1
chân,c ə n 1
châng,c ə ŋ 1
châu,c ə w 1
chây,c ə j 1
chã,c aː 4
chãi,c aː j 4
chão,c aː w 4
chè,c ɛ 2
chèm,c ɛ m 2
chèn,c ɛ n 2
chèo,c ɛ w 2
ché,c ɛ 5
chém,c ɛ m 5
chén,c ɛ n 5
chéo,c ɛ w 5
chép,c ɛ p 5
chét,c ɛ t 5
chê,c e 1
chêm,c e m 1
chênh,c e ŋ 1
chêu,c e w 1
chì,c i 2
chìa,c iə 2
chìm,c i m 2
chình,c i ŋ 2
chìu,c i w 2
chí,c i 5
chía,c iə 5
chích,c i k 5
chím,c i m 5
chín,c i n 5
chính,c i ŋ 5
chíp,c i p 5
chít,c i t 5
chíu,c i w 5
chò,c ɔ 2
chòi,c ɔ j 2
chòm,c ɔ m 2
chòng,c ɔ ŋ 2
chó,c ɔ 5
chóc,c ɔ k 5
chói,c ɔ j 5
chón,c ɔ n 5
chóng,c ɔ ŋ 5
chóp,c ɔ p 5
chót,c ɔ t 5
chô,c o 1
chôi,c o j 1
chôm,c o m 1
chôn,c o n 1
chông,c o ŋ 1
chõ,c ɔ 4
chõm,c ɔ m 4
chõng,c ɔ ŋ 4
chù,c u 2
chùa,c uə 2
chùi,c u j 2
chùm,c u m 2
chùn,c u n 2
chùng,c u ŋ 2
chú,c u 5
chúa,c uə 5
chúc,c u k 5
chúi,c u j 5
chúm,c u m 5
chúng,c u ŋ 5
chút,c u t 5
chũ,c u 4
chơ,c əː 1
chư,c ɨ 1
chạ,c aː 6
chả,c aː 3
chẻ,c ɛ 3
chẽ,c ɛ 4
chế,c e 5
chề,c e 2
chể,c e 3
chễ,c e 4
chệ,c e 6
chỉ,c i 3
chị,c i 6
chọ,c ɔ 6
chỏ,c ɔ 3
chồ,c o 2
chổ,c o 3
chỗ,c o 4
chộ,c o 6
chớ,c əː 5
chờ,c əː 2
chở,c əː 3
chợ,c əː 6
chủ,c u 3
chứ,c ɨ 5
chừ,c ɨ 2
chử,c ɨ 3
chữ,c ɨ 4
chĩa,c iə 4
