a,ʔ aː 1
sàn,ʂ aː n 2
sàng,ʂ aː ŋ 2
sào,ʂ aː w 2
sá,ʂ aː 5
sác,ʂ aː k 5
sách,ʂ ɛ k 5
sái,ʂ aː j 5
sám,ʂ aː m 5
sán,ʂ aː n 5
sáng,ʂ aː ŋ 5
sáo,ʂ aː w 5
sáp,ʂ aː p 5
sát,ʂ aː t 5
sâm,ʂ ə m 1
sân,ʂ ə n 1
sí,ʂ i 5
sính,ʂ i ŋ 5
sóc,ʂ ɔ k 5
sô,ʂ o 1
sùng,ʂ u ŋ 2
súc,ʂ u k 5
súng,ʂ u ŋ 5
súy,ʂ u j 5
sĩ,ʂ i 4
sơ,ʂ əː 1
sư,ʂ ɨ 1
sạ,ʂ aː 6
sế,ʂ e 5
sỉ,ʂ i 3
số,ʂ o 5
sồ,ʂ o 2
sổ,ʂ o 3
sớ,ʂ əː 5
sở,ʂ əː 3
sứ,ʂ ɨ 5
sừ,ʂ ɨ 2
sử,ʂ ɨ 3
sự,ʂ ɨ 6
sọa,ʂ w aː 6
sắc,ʂ a k 5
sức,ʂ ɨ k 5
sấm,ʂ ə m 5
sầm,ʂ ə m 2
sạn,ʂ aː n 6
sản,ʂ aː n 3
sấn,ʂ ə n 5
sẩn,ʂ ə n 3
sảng,ʂ aː ŋ 3
sủng,ʂ u ŋ 3
sảnh,ʂ ɛ ŋ 3
sảo,ʂ aː w 3
sất,ʂ ə t 5
sắt,ʂ a t 5
sưu,ʂ ɨ w 1
sấu,ʂ ə w 5
sầu,ʂ ə w 2
sậu,ʂ ə w 6
sứu,ʂ ɨ w 5
sửu,ʂ ɨ w 3
sủy,ʂ u j 3
sước,ʂ ɨə k 5
sương,ʂ ɨə ŋ 1
sướng,ʂ ɨə ŋ 5
sưởng,ʂ ɨə ŋ 3
ta,t aː 1
tai,t aː j 1
tam,t aː m 1
tang,t aː ŋ 1
tao,t aː w 1
tha,tʰ aː 1
thai,tʰ aː j 1
tham,tʰ aː m 1
than,tʰ aː n 1
thang,tʰ aː ŋ 1
thanh,tʰ ɛ ŋ 1
thao,tʰ aː w 1
thi,tʰ i 1
thinh,tʰ i ŋ 1
thiêm,tʰ iə m 1
thiên,tʰ iə n 1
thiêu,tʰ iə w 1
thiềm,tʰ iə m 2
thiểm,tʰ iə m 3
thiễm,tʰ iə m 4
thiệm,tʰ iə m 6
thiến,tʰ iə n 5
thiền,tʰ iə n 2
thiển,tʰ iə n 3
thiện,tʰ iə n 6
thiếp,tʰ iə p 5
thiệp,tʰ iə p 6
thiết,tʰ iə t 5
thiệt,tʰ iə t 6
thiếu,tʰ iə w 5
thiều,tʰ iə w 2
thiểu,tʰ iə w 3
thiệu,tʰ iə w 6
thoa,tʰ w aː 1
thoan,tʰ w aː n 1
thoái,tʰ w aː j 5
thoán,tʰ w aː n 5
thoát,tʰ w aː t 5
thoại,tʰ w aː j 6
thoản,tʰ w aː n 3
thu,tʰ u 1
thung,tʰ u ŋ 1
thuyên,tʰ w iə n 1
thuyền,tʰ w iə n 2
thuyết,tʰ w iə t 5
thuân,tʰ w ə n 1
thuế,tʰ w e 5
thuộc,tʰ uə k 6
thuấn,tʰ w ə n 5
thuần,tʰ w ə n 2
thuẫn,tʰ w ə n 4
thuận,tʰ w ə n 6
thuật,tʰ w ə t 6
thành,tʰ ɛ ŋ 2
thác,tʰ aː k 5
thái,tʰ aː j 5
thám,tʰ aː m 5
thán,tʰ aː n 5
thánh,tʰ ɛ ŋ 5
tháo,tʰ aː w 5
tháp,tʰ aː p 5
thát,tʰ aː t 5
thâm,tʰ ə m 1
thân,tʰ ə n 1
thâu,tʰ ə w 1
thãng,tʰ aː ŋ 4
thê,tʰ e 1
thì,tʰ i 2
thí,tʰ i 5
thích,tʰ i k 5
thính,tʰ i ŋ 5
thóa,tʰ w aː 5
thô,tʰ o 1
thôi,tʰ o j 1
thôn,tʰ o n 1
thông,tʰ o ŋ 1
thù,tʰ u 2
thùy,tʰ u j 2
thú,tʰ u 5
thúc,tʰ u k 5
thúy,tʰ u j 5
thư,tʰ ɨ 1
thả,tʰ aː 3
thế,tʰ e 5
thể,tʰ e 3
thệ,tʰ e 6
thỉ,tʰ i 3
thị,tʰ i 6
thọ,tʰ ɔ 6
thố,tʰ o 5
thổ,tʰ o 3
thụ,tʰ u 6
thủ,tʰ u 3
thứ,tʰ ɨ 5
thừ,tʰ ɨ 2
thử,tʰ ɨ 3
thự,tʰ ɨ 6
thỏa,tʰ w aː 3
thừa,tʰ ɨə 2
thạc,tʰ aː k 6
thắc,tʰ a k 5
thốc,tʰ o k 5
thục,tʰ u k 6
thức,tʰ ɨ k 5
thực,tʰ ɨ k 6
thạch,tʰ ɛ k 6
thải,tʰ aː j 3
thối,tʰ o j 5
thời,tʰ əː j 2
thảm,tʰ aː m 3
thấm,tʰ ə m 5
thầm,tʰ ə m 2
thẩm,tʰ ə m 3
thậm,tʰ ə m 6
thản,tʰ aː n 3
thấn,tʰ ə n 5
thần,tʰ ə n 2
thẩn,tʰ ə n 3
thận,tʰ ə n 6
thốn,tʰ o n 5
thăng,tʰ a ŋ 1
thũng,tʰ u ŋ 4
thảng,tʰ aː ŋ 3
thắng,tʰ a ŋ 5
thằng,tʰ a ŋ 2
thặng,tʰ a ŋ 6
thống,tʰ o ŋ 5
thỉnh,tʰ i ŋ 3
thịnh,tʰ i ŋ 6
thảo,tʰ aː w 3
thạp,tʰ aː p 6
thấp,tʰ ə p 5
thập,tʰ ə p 6
thất,tʰ ə t 5
thật,tʰ ə t 6
thốt,tʰ o t 5
thấu,tʰ ə w 5
thứu,tʰ ɨ w 5
thụy,tʰ u j 6
thủy,tʰ u j 3
thước,tʰ ɨə k 5
thược,tʰ ɨə k 6
thương,tʰ ɨə ŋ 1
thướng,tʰ ɨə ŋ 5
thường,tʰ ɨə ŋ 2
thưởng,tʰ ɨə ŋ 3
thượng,tʰ ɨə ŋ 6
ti,t i 1
tinh,t i ŋ 1
tiêm,t iə m 1
tiên,t iə n 1
tiêu,t iə w 1
tiếm,t iə m 5
tiềm,t iə m 2
tiệm,t iə m 6
tiến,t iə n 5
tiền,t iə n 2
tiển,t iə n 3
tiễn,t iə n 4
tiện,t iə n 6
tiếp,t iə p 5
tiệp,t iə p 6
tiết,t iə t 5
tiếu,t iə w 5
tiều,t iə w 2
tiểu,t iə w 3
tiễu,t iə w 4
toa,t w aː 1
toan,t w aː n 1
toàn,t w aː n 2
toái,t w aː j 5
toán,t w aː n 5
toát,t w aː t 5
toả,t w aː 3
toại,t w aː j 6
toản,t w aː n 3
tra,ʈ aː 1
trai,ʈ aː j 1
trang,ʈ aː ŋ 1
tranh,ʈ ɛ ŋ 1
trao,ʈ aː w 1
tri,ʈ i 1
trinh,ʈ i ŋ 1
triêm,ʈ iə m 1
triêu,ʈ iə w 1
triền,ʈ iə n 2
triển,ʈ iə n 3
triện,ʈ iə n 6
triếp,ʈ iə p 5
triệp,ʈ iə p 6
triết,ʈ iə t 5
triệt,ʈ iə t 6
triều,ʈ iə w 2
triệu,ʈ iə w 6
tru,ʈ u 1
trung,ʈ u ŋ 1
truy,ʈ w i 1
truyến,ʈ w iə n 5
truyền,ʈ w iə n 2
truyện,ʈ w iə n 6
truân,ʈ w ə n 1
truất,ʈ w ə t 5
truật,ʈ w ə t 6
trà,ʈ aː 2
tràng,ʈ aː ŋ 2
trành,ʈ ɛ ŋ 2
trào,ʈ aː w 2
trá,ʈ aː 5
trác,ʈ aː k 5
trách,ʈ ɛ k 5
trái,ʈ aː j 5
trám,ʈ aː m 5
trán,ʈ aː n 5
tráng,ʈ aː ŋ 5
tránh,ʈ ɛ ŋ 5
tráo,ʈ aː w 5
tráp,ʈ aː p 5
trát,ʈ aː t 5
trâm,ʈ ə m 1
trân,ʈ ə n 1
trâu,ʈ ə w 1
trãi,ʈ aː j 4
trì,ʈ i 2
trình,ʈ i ŋ 2
trí,ʈ i 5
trích,ʈ i k 5
tróc,ʈ ɔ k 5
trù,ʈ u 2
trùng,ʈ u ŋ 2
trùy,ʈ u j 2
trú,ʈ u 5
trúc,ʈ u k 5
trúng,ʈ u ŋ 5
trúy,ʈ u j 5
trĩ,ʈ i 4
trư,ʈ ɨ 1
trả,ʈ aː 3
trệ,ʈ e 6
trị,ʈ i 6
trớ,ʈ əː 5
trở,ʈ əː 3
trợ,ʈ əː 6
trụ,ʈ u 6
trứ,ʈ ɨ 5
trừ,ʈ ɨ 2
trử,ʈ ɨ 3
trữ,ʈ ɨ 4
trạc,ʈ aː k 6
trắc,ʈ a k 5
trọc,ʈ ɔ k 6
trục,ʈ u k 6
trực,ʈ ɨ k 6
trạch,ʈ ɛ k 6
trịch,ʈ i k 6
trại,ʈ aː j 6
trạm,ʈ aː m 6
trảm,ʈ aː m 3
trấm,ʈ ə m 5
trầm,ʈ ə m 2
trẫm,ʈ ə m 4
trăn,ʈ a n 1
trản,ʈ aː n 3
trấn,ʈ ə n 5
trần,ʈ ə n 2
trận,ʈ ə n 6
trưng,ʈ ɨ ŋ 1
trạng,ʈ aː ŋ 6
trọng,ʈ ɔ ŋ 6
trủng,ʈ u ŋ 3
trừng,ʈ ɨ ŋ 2
trịnh,ʈ i ŋ 6
trạo,ʈ aː w 6
trảo,ʈ aː w 3
trấp,ʈ ə p 5
trập,ʈ ə p 6
trất,ʈ ə t 5
trật,ʈ ə t 6
trứu,ʈ ɨ w 5
trừu,ʈ ɨ w 2
trửu,ʈ ɨ w 3
trữu,ʈ ɨ w 4
trụy,ʈ u j 6
trước,ʈ ɨə k 5
trương,ʈ ɨə ŋ 1
trướng,ʈ ɨə ŋ 5
trường,ʈ ɨə ŋ 2
trưởng,ʈ ɨə ŋ 3
trượng,ʈ ɨə ŋ 6
tu,t u 1
tung,t u ŋ 1
tuy,t w i 1
tuyên,t w iə n 1
tuyến,t w iə n 5
tuyền,t w iə n 2
tuyển,t w iə n 3
tuyết,t w iə t 5
tuyệt,t w iə t 6
tuân,t w ə n 1
tuế,t w e 5
tuệ,t w e 6
tuấn,t w ə n 5
tuần,t w ə n 2
tuẩn,t w ə n 3
tuẫn,t w ə n 4
tuất,t w ə t 5
tà,t aː 2
tài,t aː j 2
tàm,t aː m 2
tàn,t aː n 2
tàng,t aː ŋ 2
tào,t aː w 2
tá,t aː 5
tác,t aː k 5
tái,t aː j 5
tán,t aː n 5
táng,t aː ŋ 5
táo,t aː w 5
táp,t aː p 5
tát,t aː t 5
tâm,t ə m 1
tân,t ə n 1
tê,t e 1
tì,t i 2
tình,t i ŋ 2
tí,t i 5
tích,t i k 5
tín,t i n 5
tính,t i ŋ 5
tô,t o 1
tôn,t o n 1
tông,t o ŋ 1
tù,t u 2
tùng,t u ŋ 2
tùy,t u j 2
tú,t u 5
túc,t u k 5
túng,t u ŋ 5
túy,t u j 5
tư,t ɨ 1
tạ,t aː 6
tả,t aː 3
tế,t e 5
tề,t e 2
tể,t e 3
tễ,t e 4
tệ,t e 6
tỉ,t i 3
tị,t i 6
tố,t o 5
tồ,t o 2
tổ,t o 3
tộ,t o 6
tụ,t u 6
tứ,t ɨ 5
từ,t ɨ 2
tử,t ɨ 3
tữ,t ɨ 4
tự,t ɨ 6
tọa,t w aː 6
tạc,t aː k 6
tắc,t a k 5
tặc,t a k 6
tốc,t o k 5
tộc,t o k 6
tục,t u k 6
tức,t ɨ k 5
tịch,t i k 6
tại,t aː j 6
tải,t aː j 3
tối,t o j 5
tồi,t o j 2
tội,t o j 6
tạm,t aː m 6
tảm,t aː m 3
tầm,t ə m 2
tẩm,t ə m 3
tản,t aː n 3
tấn,t ə n 5
tần,t ə n 2
tẫn,t ə n 4
tận,t ə n 6
tốn,t o n 5
tồn,t o n 2
tổn,t o n 3
tỗn,t o n 4
tăng,t a ŋ 1
tạng,t aː ŋ 6
tảng,t aː ŋ 3
tắng,t a ŋ 5
tằng,t a ŋ 2
tặng,t a ŋ 6
tống,t o ŋ 5
tổng,t o ŋ 3
tụng,t u ŋ 6
tủng,t u ŋ 3
tĩnh,t i ŋ 4
tỉnh,t i ŋ 3
tịnh,t i ŋ 6
tạo,t aː w 6
tảo,t aː w 3
tạp,t aː p 6
tấp,t ə p 5
tập,t ə p 6
tạt,t aː t 6
tất,t ə t 5
tật,t ə t 6
tốt,t o t 5
tưu,t ɨ w 1
tấu,t ə w 5
tẩu,t ə w 3
tửu,t ɨ w 3
tựu,t ɨ w 6
tẩy,t ə j 3
tụy,t u j 6
tủy,t u j 3
tước,t ɨə k 5
tương,t ɨə ŋ 1
tướng,t ɨə ŋ 5
tường,t ɨə ŋ 2
tưởng,t ɨə ŋ 3
tượng,t ɨə ŋ 6
u,ʔ u 1
ung,ʔ u ŋ 1
uy,w i 1
uyên,w iə n 1
uyển,w iə n 3
uyết,w iə t 5
uân,w ə n 1
uông,ʔ uə ŋ 1
uế,w e 5
uấn,w ə n 5
uẩn,w ə n 3
uổng,ʔ uə ŋ 3
uất,w ə t 5
vanh,v ɛ ŋ 1
vi,v i 1
vinh,v i ŋ 1
viêm,v iə m 1
viên,v iə n 1
viễn,v iə n 4
viện,v iə n 6
viết,v iə t 5
việt,v iə t 6
vong,v ɔ ŋ 1
vu,v u 1
vân,v ə n 1
vãn,v aː n 4
vãng,v aː ŋ 4
vô,v o 1
võng,v ɔ ŋ 4
vú,v u 5
vĩ,v i 4
vũ,v u 4
vệ,v e 6
vỉ,v i 3
vị,v i 6
vụ,v u 6
vực,v ɨ k 6
văn,v a n 1
vạn,v aː n 6
vấn,v ə n 5
vẫn,v ə n 4
vận,v ə n 6
vặn,v a n 6
vọng,v ɔ ŋ 6
vựng,v ɨ ŋ 6
vĩnh,v i ŋ 4
vịnh,v i ŋ 6
vạt,v aː t 6
vật,v ə t 6
vưu,v ɨ w 1
vương,v ɨə ŋ 1
vượng,v ɨə ŋ 6
xa,s aː 1
xan,s aː n 1
xanh,s ɛ ŋ 1
xao,s aː w 1
xi,s i 1
xiêm,s iə m 1
xiển,s iə n 3
xiệp,s iə p 6
xiết,s iə t 5
xoa,s w aː 1
xoang,s w aː ŋ 1
xu,s u 1
xung,s u ŋ 1
xuy,s w i 1
xuyên,s w iə n 1
xuyến,s w iə n 5
xuyết,s w iə t 5
xuân,s w ə n 1
xuế,s w e 5
xuẩn,s w ə n 3
xuất,s w ə t 5
xà,s aː 2
xá,s aː 5
xác,s aː k 5
xái,s aː j 5
xán,s aː n 5
xâm,s ə m 1
xâu,s ə w 1
xã,s aː 4
xí,s i 5
xích,s i k 5
xóa,s w aː 5
xú,s u 5
xúc,s u k 5
xúy,s u j 5
xạ,s aː 6
xả,s aː 3
xế,s e 5
xỉ,s i 3
xứ,s ɨ 5
xử,s ɨ 3
xưng,s ɨ ŋ 1
xứng,s ɨ ŋ 5
xảo,s aː w 3
xước,s ɨə k 5
xương,s ɨə ŋ 1
xướng,s ɨə ŋ 5
xưởng,s ɨə ŋ 3
y,ʔ i 1
yêm,ʔ iə m 1
yên,ʔ iə n 1
yêu,ʔ iə w 1
yếm,ʔ iə m 5
yểm,ʔ iə m 3
yến,ʔ iə n 5
yển,ʔ iə n 3
yếp,ʔ iə p 5
yết,ʔ iə t 5
yếu,ʔ iə w 5
yểu,ʔ iə w 3
á,ʔ aː 5
ác,ʔ aː k 5
ách,ʔ ɛ k 5
ái,ʔ aː j 5
ám,ʔ aː m 5
án,ʔ aː n 5
áng,ʔ aː ŋ 5
ánh,ʔ ɛ ŋ 5
áo,ʔ aː w 5
áp,ʔ aː p 5
át,ʔ aː t 5
âm,ʔ ə m 1
ân,ʔ ə n 1
âu,ʔ ə w 1
ê,ʔ e 1
ích,ʔ i k 5
ô,ʔ o 1
ôi,ʔ o j 1
ôn,ʔ o n 1
ông,ʔ o ŋ 1
úc,ʔ u k 5
úm,ʔ u m 5
úng,ʔ u ŋ 5
úy,ʔ u j 5
ý,ʔ i 5
ư,ʔ ɨ 1
ế,ʔ e 5
ố,ʔ o 5
ổ,ʔ o 3
ủ,ʔ u 3
ứ,ʔ ɨ 5
ỷ,ʔ i 3
đa,ɗ aː 1
đam,ɗ aː m 1
đan,ɗ aː n 1
đang,ɗ aː ŋ 1
đao,ɗ aː w 1
ốc,ʔ o k 5
ức,ʔ ɨ k 5
ải,ʔ aː j 3
ổi,ʔ o j 3
đinh,ɗ i ŋ 1
điêm,ɗ iə m 1
điên,ɗ iə n 1
điêu,ɗ iə w 1
điếm,ɗ iə m 5
điềm,ɗ iə m 2
điểm,ɗ iə m 3
điệm,ɗ iə m 6
điến,ɗ iə n 5
điền,ɗ iə n 2
điển,ɗ iə n 3
điễn,ɗ iə n 4
điện,ɗ iə n 6
điệp,ɗ iə p 6
điệt,ɗ iə t 6
điếu,ɗ iə w 5
điều,ɗ iə w 2
điểu,ɗ iə w 3
điệu,ɗ iə w 6
ảm,ʔ aː m 3
ấm,ʔ ə m 5
ẩm,ʔ ə m 3
ấn,ʔ ə n 5
ẩn,ʔ ə n 3
ổn,ʔ o n 3
ưng,ʔ ɨ ŋ 1
ống,ʔ o ŋ 5
ổng,ʔ o ŋ 3
ủng,ʔ u ŋ 3
ứng,ʔ ɨ ŋ 5
ảnh,ʔ ɛ ŋ 3
ảo,ʔ aː w 3
đoài,ɗ w aː j 2
đoàn,ɗ w aː n 2
đoán,ɗ w aː n 5
đoát,ɗ w aː t 5
đoạn,ɗ w aː n 6
đoản,ɗ w aː n 3
đoạt,ɗ w aː t 6
ấp,ʔ ə p 5
ất,ʔ ə t 5
ốt,ʔ o t 5
ột,ʔ o t 6
ưu,ʔ ɨ w 1
ấu,ʔ ə w 5
ẩu,ʔ ə w 3
ửu,ʔ ɨ w 3
ủy,ʔ u j 3
đà,ɗ aː 2
đài,ɗ aː j 2
đàm,ɗ aː m 2
đàn,ɗ aː n 2
đào,ɗ aː w 2
đá,ɗ aː 5
đái,ɗ aː j 5
đán,ɗ aː n 5
đáng,ɗ aː ŋ 5
đáo,ɗ aː w 5
đáp,ɗ aː p 5
đát,ɗ aː t 5
đâu,ɗ ə w 1
đãi,ɗ aː j 4
đãn,ɗ aː n 4
đãng,ɗ aː ŋ 4
đê,ɗ e 1
đình,ɗ i ŋ 2
đích,ɗ i k 5
đính,ɗ i ŋ 5
đóa,ɗ w aː 5
đô,ɗ o 1
đôi,ɗ o j 1
đôn,ɗ o n 1
đông,ɗ o ŋ 1
đạ,ɗ aː 6
đả,ɗ aː 3
đế,ɗ e 5
đề,ɗ e 2
để,ɗ e 3
đễ,ɗ e 4
đệ,ɗ e 6
đố,ɗ o 5
đồ,ɗ o 2
đổ,ɗ o 3
đỗ,ɗ o 4
độ,ɗ o 6
địa,ɗ iə 6
đọa,ɗ w aː 6
đỏa,ɗ w aː 3
đạc,ɗ aː k 6
đắc,ɗ a k 5
đặc,ɗ a k 6
đốc,ɗ o k 5
độc,ɗ o k 6
đức,ɗ ɨ k 5
ước,ʔ ɨə k 5
địch,ɗ i k 6
đại,ɗ aː j 6
đối,ɗ o j 5
đồi,ɗ o j 2
đỗi,ɗ o j 4
đội,ɗ o j 6
đạm,ɗ aː m 6
đảm,ɗ aː m 3
đạn,ɗ aː n 6
đản,ɗ aː n 3
đốn,ɗ o n 5
đồn,ɗ o n 2
độn,ɗ o n 6
đăng,ɗ a ŋ 1
đảng,ɗ aː ŋ 3
đắng,ɗ a ŋ 5
đằng,ɗ a ŋ 2
đẳng,ɗ a ŋ 3
đặng,ɗ a ŋ 6
đống,ɗ o ŋ 5
đồng,ɗ o ŋ 2
đổng,ɗ o ŋ 3
đỗng,ɗ o ŋ 4
động,ɗ o ŋ 6
ương,ʔ ɨə ŋ 1
ưởng,ʔ ɨə ŋ 3
đĩnh,ɗ i ŋ 4
đỉnh,ɗ i ŋ 3
định,ɗ i ŋ 6
đạo,ɗ aː w 6
đảo,ɗ aː w 3
đạp,ɗ aː p 6
đạt,ɗ aː t 6
đốt,ɗ o t 5
đột,ɗ o t 6
đấu,ɗ ə w 5
đầu,ɗ ə w 2
đẩu,ɗ ə w 3
đậu,ɗ ə w 6
đương,ɗ ɨə ŋ 1
đường,ɗ ɨə ŋ 2
