汉字,漢越語,IPA,聲調,拼音,攝別,四聲,韻目,字母,開合,等第,清濁,上字,下字,,,,,,,,,,,
囗,Vi,vi1,平聲,wéi,止,平,微,云,合,三,次濁,雨,非,,,,,,,,,,,
土,Thổ,t'o3,問聲,tǔ,遇,上,姥,透,合,一,次清,他,魯,,,,,,,,,,,
土,Độ,do6,重聲,tǔ,遇,上,姥,定,合,一,全濁,徒,古,,,,,,,,,,,
士,Sĩ,ʂi4,跌聲,shì,止,上,止,崇,開,三,全濁,鉏,里,,,,,,,,,,,
夂,Truy,tʂwi1,平聲,zhǐ,止,上,旨,知,開,三,全清,豬,几,,,,,,,,,,,
夊,Tuy,twi1,平聲,suī,止,平,支,初,合,三,次清,楚,危,,,,,,,,,,,
夕,Tịch,tiʧ8,重入,xī,梗,入,昔,邪,開,三,全濁,祥,易,,,,,,,,,,,
大,Đại,da:j6,重聲,dài,蟹,去,泰,定,開,一,全濁,徒,蓋,,,,,,,,,,,
大,Đại,da:j6,重聲,dà,果,去,箇,定,開,一,全濁,唐,佐,,,,,,,,,,,
女,Nữ,nɯ4,跌聲,nǚ,遇,上,語,娘,開,三,次濁,尼,呂,,,,,,,,,,,
女,Nứ,nɯ5,銳聲,nǜ,遇,去,御,娘,開,三,次濁,尼,據,,,,,,,,,,,
子,Tử,tɯ3,問聲,zǐ,止,上,止,精,開,三,全清,即,里,,,,,,,,,,,
孑,Kiết,kiet7,銳入,jié,山,入,薛,見,開,三,全清,居,列,,,,,,,,,,,
孒,Quyết,kwiet7,銳入,jué,山,入,月,見,合,三,全清,居,月,,,,,,,,,,,
宀,Miên,mien1,平聲,mián,山,平,仙,明,開,三,次濁,武,延,,,,,,,,,,,
寸,Thốn,t'on5,銳聲,cùn,臻,去,慁,清,合,一,次清,倉,困,,,,,,,,,,,
小,Tiểu,tiew3,問聲,xiǎo,效,上,小,心,開,三,全清,私,兆,,,,,,,,,,,
尸,Thi,t'i1,平聲,shī,止,平,之,書,開,三,全清,式,之,,,,,,,,,,,
屮,Triệt,tʂiet8,重入,chè,山,入,薛,徹,開,三,次清,丑,列,,,,,,,,,,,
山,San,ʂa:n1,平聲,shān,山,平,山,生,開,二,全清,所,閒,,,,,,,,,,,
川,Xuyên,swien1,平聲,chuān,山,平,仙,昌,合,三,次清,昌,緣,,,,,,,,,,,
工,Công,koŋ1,平聲,gōng,通,平,東,見,合,一,全清,古,紅,,,,,,,,,,,
己,Kỉ,ki3,問聲,jǐ,止,上,止,見,開,三,全清,居,理,,,,,,,,,,,
已,Dĩ,zi4,問聲,yǐ,止,上,止,以,開,三,次濁,羊,己,,,,,,,,,,,
巳,Tị,ti6,重聲,sì,止,上,止,邪,開,三,全濁,詳,里,,,,,,,,,,,
巾,Cân,kɤn1,平聲,jīn,臻,平,真,見,開,三,全清,居,銀,,,,,,,,,,,
干,Can,ka:n1,平聲,gān,山,平,寒,見,開,一,全清,古,寒,,,,,,,,,,,
幺,Yêu,iew1,平聲,yāo,效,平,蕭,影,開,四,全清,於,堯,,,,,,,,,,,
广,Nghiễm,ŋiem4,跌聲,yǎn,咸,上,琰,疑,開,三,次濁,魚,檢,,,,,,,,,,,
廾,Củng,kuŋ3,問聲,gòng,通,上,腫,見,合,三,全清,居,悚,,,,,,,,,,,
弋,Dặc,zak8,重入,yì,曾,入,職,以,開,三,次濁,與,職,,,,,,,,,,,
弓,Cung,kuŋ1,平聲,gōng,通,平,東,見,合,三,全清,居,戎,,,,,,,,,,,
彐,Kí,ki5,銳聲,jì,蟹,去,祭,見,開,三,全清,居,例,,,,,,,,,,,
彡,Sam,ʂa:m1,平聲,shān,咸,平,銜,生,開,二,全清,所,銜,,,,,,,,,,,
彳,Xích,siʧ7,銳入,chì,梗,入,昔,徹,開,三,次清,丑,亦,,,,,,,,,,,
才,Tài,ta:j2,弦聲,cái,蟹,平,咍,從,開,一,全濁,昨,哉,,,,,,,,,,,
不,Bất,bɤt7,銳入,bù,臻,入,物,非,合,三,全清,分,勿,,,,,,,,,,,
丐,Cái,ka:j5,銳聲,gài,蟹,去,泰,見,開,一,全清,古,太,,,,,,,,,,,
丑,Sửu,ʂɯw3,問聲,chǒu,流,上,有,徹,開,三,次清,敕,久,,,,,,,,,,,
中,Trung,tʂuŋ1,平聲,zhōng,通,平,東,知,合,三,全清,陟,弓,,,,,,,,,,,
中,Trúng,tʂuŋ5,銳聲,zhòng,通,去,送,知,合,三,全清,陟,仲,,,,,,,,,,,
丯,Phong,fɔŋ1,平聲,jiè,蟹,去,怪,見,開,二,全清,古,拜,,,,,,,,,,,
丹,Đan,da:n1,平聲,dān,山,平,寒,端,開,一,全清,都,寒,,,,,,,,,,,
之,Chi,tʂi1,平聲,zhī,止,平,之,章,開,三,全清,止,而,,,,,,,,,,,
予,Dư,zɯ1,平聲,yú,遇,平,魚,以,開,三,次濁,以,諸,,,,,,,,,,,
予,Dữ,zɯ4,跌聲,yǔ,遇,上,語,以,開,三,次濁,余,呂,,,,,,,,,,,
云,Vân,vɤn1,平聲,yún,臻,平,文,云,合,三,次濁,王,分,,,,,,,,,,,
互,Hỗ,ho4,跌聲,hù,遇,去,暮,匣,合,一,全濁,胡,誤,,,,,,,,,,,
五,Ngũ,ŋu4,跌聲,wǔ,遇,上,姥,疑,合,一,次濁,疑,古,,,,,,,,,,,
井,Tỉnh,tiɲ3,問聲,jǐng,梗,上,靜,精,開,三,全清,子,郢,,,,,,,,,,,
亢,Cang,ka:ŋ1,平聲,gāng,宕,平,唐,見,開,一,全清,古,郎,,,,,,,,,,,
亢,Kháng,xa:ŋ5,銳聲,kàng,宕,去,宕,溪,開,一,次清,苦,浪,,,,,,,,,,,
什,Thập,t'ɤp8,重入,shí,深,入,緝,禪,開,三,全濁,是,執,,,,,,,,,,,
仁,Nhân,ɲɤn1,平聲,rén,臻,平,真,日,開,三,次濁,如,鄰,,,,,,,,,,,
仃,Đinh,diɲ1,平聲,dīng,梗,平,青,端,開,四,全清,當,經,,,,,,,,,,,
仄,Trắc,tʂak7,銳入,zè,曾,入,職,莊,開,三,全清,阻,力,,,,,,,,,,,
仆,Phó,fɔ5,銳聲,fù,遇,去,遇,敷,合,三,次清,芳,遇,,,,,,,,,,,
仇,Cừu,kɯw2,弦聲,chóu,流,平,尤,羣,開,三,全濁,巨,鳩,,,,,,,,,,,
仉,Chưởng,tʂɯɤŋ3,問聲,zhǎng,宕,上,養,章,開,三,全清,諸,兩,,,,,,,,,,,
今,Kim,kim1,平聲,jīn,深,平,侵,見,開,三,全清,居,吟,,,,,,,,,,,
介,Giới,ʑɤ:j5,銳聲,jiè,蟹,去,怪,見,開,二,全清,古,拜,,,,,,,,,,,
仍,Nhưng,ɲɯŋ1,平聲,réng,曾,平,蒸,日,開,三,次濁,如,乘,,,,,,,,,,,
允,Duẫn,zuɤn4,跌聲,yǔn,臻,上,準,以,合,三,次濁,余,準,,,,,,,,,,,
允,Doãn,zwa:n4,跌聲,yǔn,臻,上,準,以,合,三,次濁,余,準,,,,,,,,,,,
元,Nguyên,ŋwien1,平聲,yuán,山,平,元,疑,合,三,次濁,愚,袁,,,,,,,,,,,
內,Nội,noj6,重聲,nèi,蟹,去,隊,泥,合,一,次濁,奴,對,,,,,,,,,,,
公,Công,koŋ1,平聲,gōng,通,平,東,見,合,一,全清,古,紅,,,,,,,,,,,
六,Lục,luk8,重入,liù,通,入,屋,來,合,三,次濁,力,竹,,,,,,,,,,,
兮,Hề,he2,弦聲,xī,蟹,平,齊,匣,開,四,全濁,胡,雞,,,,,,,,,,,
内,Nội,noj6,重聲,nèi,蟹,去,隊,泥,合,一,次濁,奴,對,,,,,,,,,,,
冈,Cương,kɯɤŋ1,平聲,gāng,宕,平,唐,見,開,一,全清,古,郎,,,,,,,,,,,
冗,Nhũng,ɲuŋ4,跌聲,rǒng,通,上,腫,日,合,三,次濁,而,隴,,,,,,,,,,,
凶,Hung,huŋ1,平聲,xiōng,通,平,鍾,曉,合,三,次清,許,容,,,,,,,,,,,
分,Phân,fɤn1,平聲,fēn,臻,平,文,非,合,三,全清,府,文,,,,,,,,,,,
分,Phận,fɤn6,重聲,fèn,臻,去,問,奉,合,三,全濁,扶,問,,,,,,,,,,,
切,Thế,t'e5,銳聲,qiē,蟹,去,霽,清,開,四,次清,七,計,,,,,,,,,,,
切,Thiết,t'iet7,銳入,qiē,山,入,屑,清,開,四,次清,千,結,,,,,,,,,,,
刈,Ngải,ŋa:j3,問聲,yì,蟹,去,廢,疑,開,三,次濁,魚,肺,,,,,,,,,,,
勻,Quân,kwɤn1,平聲,yún,臻,平,諄,以,合,三,次濁,羊,倫,,,,,,,,,,,
勿,Vật,vɤt8,重入,wù,臻,入,物,微,合,三,次濁,文,弗,,,,,,,,,,,
化,Hóa,hwa:5,銳聲,huà,假,去,禡,曉,合,二,次清,呼,霸,,,,,,,,,,,
匹,Thất,t'ɤt7,銳入,pǐ,臻,入,質,滂,開,三,次清,譬,吉,,,,,,,,,,,
卅,Tạp,ta:p8,重入,sà,咸,入,盍,心,開,一,全清,私,盍,,,,,,,,,,,
升,Thăng,t'aŋ1,平聲,shēng,曾,平,蒸,書,開,三,全清,識,蒸,,,,,,,,,,,
午,Ngọ,ŋɔ6,重聲,wǔ,遇,上,姥,疑,合,一,次濁,疑,古,,,,,,,,,,,
卞,Biện,bien6,重聲,biàn,山,去,線,並,合,三,全濁,皮,變,,,,,,,,,,,
卬,Ngang,ŋa:ŋ1,平聲,áng,宕,平,唐,疑,開,一,次濁,五,剛,,,,,,,,,,,
厄,Ách,a:ʧ7,銳入,è,梗,入,麥,影,開,二,全清,於,革,,,,,,,,,,,
及,Cập,kɤp8,重入,jí,深,入,緝,羣,開,三,全濁,其,立,,,,,,,,,,,
友,Hữu,hɯw4,跌聲,yǒu,流,上,有,云,開,三,次濁,云,久,,,,,,,,,,,
反,Phiên,fien1,平聲,fǎn,山,平,元,敷,合,三,次清,孚,袁,,,,,,,,,,,
反,Phản,fa:n3,問聲,fǎn,山,上,阮,非,合,三,全清,府,遠,,,,,,,,,,,
壬,Nhâm,ɲɤm1,平聲,rén,深,平,侵,日,開,三,次濁,如,林,,,,,,,,,,,
天,Thiên,t'ien1,平聲,tiān,山,平,先,透,開,四,次清,他,前,,,,,,,,,,,
太,Thái,t'a:j5,銳聲,tài,蟹,去,泰,透,開,一,次清,他,蓋,,,,,,,,,,,
夫,Phu,fu1,平聲,fū,遇,平,虞,非,合,三,全清,甫,無,,,,,,,,,,,
夬,Quái,kwa:j5,銳聲,guài,蟹,去,夬,見,合,二,全清,古,邁,,,,,,,,,,,
夭,Yêu,iew1,平聲,yāo,效,平,宵,影,開,三,全清,於,喬,,,,,,,,,,,
夭,Yểu,iew3,問聲,yǎo,效,上,小,影,開,三,全清,於,兆,,,,,,,,,,,
孔,Khổng,koŋ3,問聲,kǒng,通,上,董,溪,合,一,次清,康,董,,,,,,,,,,,
少,Thiểu,t'iew3,問聲,shǎo,效,上,小,書,開,三,全清,書,沼,,,,,,,,,,,
少,Thiếu,t'iew5,銳聲,shào,效,去,笑,書,開,三,全清,失,照,,,,,,,,,,,
尤,Vưu,vɯw1,平聲,yóu,流,平,尤,云,開,三,次濁,羽,求,,,,,,,,,,,
尹,Duẫn,zuɤn4,跌聲,yǐn,臻,上,準,以,合,三,次濁,余,準,,,,,,,,,,,
尺,Xích,siʧ7,銳入,chǐ,梗,入,昔,昌,開,三,次清,昌,石,,,,,,,,,,,
